,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_161,49.76999999999953,0.0,0,2514,0,0,0,40838,63864,151195529,113419984,28876183,284297,52806765,1142555,460682,2663
run_162,41.92000000000007,7.97199999999998,0,2524,0,0,0,41006,64588,154617690,115134043,29984457,287289,53154007,1031732,484949,3073
run_163,42.400000000000546,7.6159999999999854,0,2502,0,0,0,41114,63100,160419543,115774556,30283901,285477,53140675,1018861,506420,3060
run_164,49.149999999999636,0.0,0,2534,0,0,0,40331,65012,155265508,104773555,25843503,265426,51890301,1511337,357221,2387
run_165,45.45000000000073,3.927000000000021,0,2477,0,1,1,40480,63110,164495450,116105065,30283248,278055,52982884,919514,514896,3445
run_166,49.909999999999854,0.0,0,2521,0,0,0,41057,64250,153093499,107984799,27021306,278565,52722879,1363744,424797,2560
run_167,45.77000000000044,3.9950000000000045,0,2493,0,0,0,40936,62668,152088715,110723832,28147893,271972,52745410,1211202,427659,2426
run_168,41.36999999999989,7.5470000000000255,0,2449,0,0,0,40158,63782,156190806,114548404,29147864,282909,52436276,1273991,439669,702
run_169,49.970000000000255,0.0,0,2517,0,0,0,41159,64002,152723721,104367951,25273075,267829,52664518,1374222,383805,5411
run_170,49.460000000000036,0.0,0,2451,0,0,0,40598,63936,154562079,107487948,26813193,273666,52548914,1284877,415268,877
run_171,45.409999999999854,3.8339999999999463,0,2445,0,0,0,40498,63558,152486155,113325475,28936763,288714,52706839,1390348,433820,4042
run_172,45.30999999999949,4.081999999999994,0,2533,0,0,0,40427,64800,161418589,114522178,29857861,280642,52591308,988433,505021,915
run_173,48.970000000001164,0.0,0,2509,0,0,1,40164,63350,158133836,106726183,26275739,264565,52071603,1463615,372563,1295
run_174,45.789999999999054,3.939000000000078,0,2518,0,0,1,40893,64116,151079553,114034344,29300350,289047,52909798,1136498,477120,699
run_175,41.70000000000073,8.104000000000042,0,2433,0,0,1,40926,62702,157726243,115370645,29964643,281390,52963704,1041124,495207,2303
