,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_1,69.607,8.063,18880,6267,0,1,8,,,228287519,115889984,22075441,196602,35740518,1445522,346062,27752
run_2,55.995000000000005,8.024999999999999,0,3046,0,0,6,,,161523356,96732133,21650918,217641,53796238,1720501,268522,8043
run_3,60.40799999999996,3.788999999999998,0,2652,0,0,6,,,171013575,94813702,19686253,205148,51726424,1831327,274911,8678
run_4,60.75799999999998,4.043999999999997,0,2604,0,0,7,,,161231296,97739109,22363616,225152,54031488,1696061,283142,7937
run_5,61.200999999999965,3.831999999999997,0,2468,0,0,7,,,183626527,98914125,19762768,193215,49026775,2129159,355762,7298
run_6,64.97000000000003,0.07699999999999818,0,2595,0,0,7,,,165793161,98743682,21549161,216763,52400167,1749849,282306,9161
run_7,61.72099999999989,0.09799999999999898,0,2638,0,0,6,,,175200840,91419108,19802808,201728,51796881,1817755,288101,1968
run_8,56.471000000000004,8.020000000000003,0,2507,0,0,6,,,181229453,97164150,19354774,190165,49523143,1882378,298597,6585
run_9,61.125999999999976,4.064,0,2603,0,0,6,,,170839535,98203251,20099030,210714,51786405,1826373,273373,7799
run_10,57.771999999999935,4.1030000000000015,0,2627,0,0,6,,,176371856,92721428,19769283,198926,51316948,1832907,290173,1431
run_11,58.958999999999946,4.176000000000002,0,2641,0,0,6,,,181853520,95475440,19839067,194662,50034154,2032700,331930,5545
run_12,56.885000000000105,4.056999999999995,0,2640,0,0,6,,,171984559,90975170,19854392,198124,52929033,2027508,336104,1543
run_13,56.418000000000006,3.7879999999999967,0,2640,0,0,7,,,154300051,95777050,22263297,266363,55870449,1944072,338449,1109
run_14,60.450000000000045,4.028000000000006,0,2557,0,0,6,,,164093597,97178914,21757242,219483,54043381,1937863,333575,4193
run_15,60.12000000000012,4.007999999999996,0,2637,0,0,6,,,176748768,96459932,19591075,198413,51143576,1820486,280701,7565
run_16,58.22000000000003,3.8029999999999973,0,2638,0,0,7,,,144462719,99488815,24268609,284667,56116715,1604140,279103,795
run_17,63.57999999999993,0.0,0,2639,0,0,8,,,187120801,95144538,19217788,188491,48742254,2080334,333666,3879
run_18,61.319999999999936,4.0519999999999925,0,2632,0,0,6,,,167960275,97601300,21003194,209422,52102256,2009799,341721,7578
run_19,65.0,0.04600000000000648,0,2637,0,0,8,,,161637311,97961042,22621181,221303,54369603,1663347,278595,7261
run_20,58.169999999999845,3.9000000000000057,0,2634,0,0,6,,,166941929,94288315,20511945,221828,54405782,2017783,330680,1061
run_21,60.66000000000008,3.8130000000000024,0,2554,0,0,7,,,178161362,96629738,19439384,196719,50846061,2096642,350979,3277
