,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_1,70.725,8.114,18888,6268,0,1,9,,,245371888,121163571,22478814,237885,36511820,1382158,360978,29094
run_2,57.815,3.9109999999999996,0,3046,0,0,7,,,169367414,94135516,20017355,212987,55179683,1752802,270058,1945
run_3,60.71500000000003,0.022999999999999687,0,2652,0,0,6,,,153540431,98217659,21926812,270398,55430468,1679973,262096,896
run_4,56.442999999999984,4.024999999999999,0,2690,0,0,7,,,179717853,94278660,20086023,199323,53731823,1826592,278760,1183
run_5,57.09599999999995,3.873000000000001,0,2615,0,0,6,,,157022174,97424568,21740717,266172,55888593,1983319,339518,1282
run_6,61.41000000000008,0.06199999999999761,8,2783,0,0,6,,,191968664,97188316,19725269,191748,49282290,1863347,279528,3035
run_7,52.16300000000001,8.015,0,2721,0,0,6,,,174381242,94163226,20026697,206933,55480559,1819060,283034,920
run_8,61.36399999999992,0.0589999999999975,0,2718,0,0,6,,,161708276,100324707,21365017,267750,55678877,1930959,325381,1375
run_9,57.69799999999998,4.085000000000001,0,2721,0,0,7,,,189674755,97196674,19709725,196547,49426267,1874700,282600,2186
run_10,53.26999999999998,8.097999999999999,0,2720,0,0,6,,,183853238,95990234,20029713,199336,53069685,1850708,283128,2020
run_11,56.49699999999996,4.033000000000001,0,2724,0,0,6,,,164732271,97976072,20419610,258597,55575179,1963582,316117,721
run_12,53.09699999999998,8.100999999999999,0,2722,0,0,6,,,189331928,95672310,19712607,194958,49944712,2088914,339476,891
run_13,57.51699999999994,4.098999999999997,0,2717,0,0,6,,,180428802,97561150,19962392,205161,53680595,2070702,338439,2110
run_14,58.593000000000075,3.914999999999992,0,2718,0,0,7,,,175114894,98962221,19836904,205831,53972932,2048017,337347,1938
run_15,53.909999999999854,7.891999999999996,0,2737,0,0,6,,,169044686,97870575,19938631,219160,55751867,1823946,279887,1406
run_16,61.179999999999836,0.05499999999999261,60,2706,0,0,7,,,161523968,100925547,21622409,269099,55867140,1716426,271778,898
run_17,57.07999999999993,4.070999999999998,0,2737,0,0,6,,,185481242,96101431,19606952,197741,50745205,2092927,333392,1291
run_18,69.49000000000001,0.06300000000000239,0,2721,0,1,7,,,219163730,108926597,20167842,171746,39220019,1886323,344556,15960
run_19,56.649999999999864,4.044000000000011,0,2722,0,0,6,,,179936693,93299556,20084375,201677,54093132,1818680,279617,1298
run_20,61.549999999999955,0.0,0,2724,0,0,6,,,168067209,99137452,20430716,221123,55718845,1971036,324013,2458
run_21,61.24000000000001,0.0,0,2721,0,0,6,,,159166725,102926997,22527909,269760,55950765,1870367,330990,674
run_22,60.65000000000009,0.0,0,2719,0,0,6,,,181068740,93739679,20073368,202158,54494659,1817027,277949,1749
run_23,59.820000000000164,0.0,0,2720,0,0,7,,,151156417,101970251,22495621,282896,55846382,1658102,268704,308
run_24,56.58999999999992,3.919000000000011,0,2722,0,0,5,,,173678379,94373239,20032298,212992,55530919,1810101,280544,1150
run_25,61.0,0.030000000000001137,0,2719,0,0,6,,,159251682,101147606,21841922,269543,55660810,1882718,322199,851
run_26,52.649999999999864,8.070999999999998,0,2722,0,0,7,,,181112787,94659230,20107267,203244,53973237,2034324,326589,1333
run_27,60.75999999999999,0.018000000000000682,0,2724,0,0,7,,,157026955,99047612,21907049,265441,56138543,1715357,273216,3193
run_28,52.62999999999988,8.072000000000003,0,2721,0,0,6,,,183043283,94799513,19673144,199269,52664123,1852711,285988,1287
run_29,60.8599999999999,0.0,0,2719,0,0,6,,,163848244,97635838,20580040,224985,55818681,1782429,273612,1236
run_30,56.30000000000018,3.837999999999994,0,2721,0,0,6,,,181079885,93181924,19663763,200530,52421560,1841382,280313,699
run_31,56.25,4.0190000000000055,0,2720,0,0,7,,,162184115,97841927,20498822,257471,55628384,1753943,263722,869
run_32,57.1400000000001,4.067000000000007,0,2721,0,0,5,,,184768365,95827555,19663166,208852,51202616,1861257,288492,1445
run_33,57.11999999999989,3.847999999999999,0,2717,0,0,6,,,169893648,96358936,19977041,215455,55704716,1824517,278348,1114
run_34,60.51000000000022,0.01300000000000523,0,2723,0,0,7,,,155295255,101063507,21948507,270273,55510908,1851541,315270,686
run_35,59.929999999999836,0.0,0,2724,0,0,6,,,170610902,94896451,20067642,207670,55460385,1801216,280259,602
run_36,56.84999999999991,4.033999999999992,0,2721,0,0,7,,,156042969,103147848,22922276,278407,55917108,1853362,332843,338
run_37,52.54999999999973,8.054999999999993,0,2718,0,0,7,,,174224866,95349334,20017636,206599,55616119,1825896,282463,1664
run_38,55.95000000000027,4.001999999999981,0,2722,0,0,6,,,150535269,102443108,22723004,288657,55781156,1840524,326771,282
run_39,52.929999999999836,8.076999999999998,0,2722,0,0,6,,,175072220,94404271,19932680,205971,55349962,2041023,337951,897
run_40,61.13000000000011,0.045000000000015916,0,2719,0,0,7,,,163675364,100036135,21176467,264443,55642593,1934109,325832,1544
run_41,52.86999999999989,8.078000000000003,0,2720,0,0,7,,,184237285,95558929,19571380,197226,51635621,2076862,338457,1320
run_42,53.36999999999989,7.872000000000014,0,2722,0,0,6,,,171821626,95578468,19961495,210619,55469678,2024152,326956,2093
run_43,61.07999999999993,0.04599999999999227,0,2724,0,0,6,,,162030485,99838888,21500605,259900,55662721,1701781,264216,1057
run_44,56.2800000000002,4.019999999999982,0,2720,0,0,7,,,177654343,94090001,19966503,205308,54717855,1846676,286891,821
run_45,57.960000000000036,3.883999999999986,0,2720,0,0,6,,,167923792,98068505,20588473,216979,55929257,1976068,332081,1901
run_46,60.82999999999993,0.03299999999998704,0,2722,0,0,6,,,159784445,101980609,22220934,273434,55761938,1873781,329564,753
run_47,52.99000000000024,8.079999999999984,0,2721,0,0,7,,,182001359,96068530,20048900,206966,53391821,1840972,285590,1866
run_48,57.61000000000013,3.8619999999999948,0,2721,0,0,8,,,171063793,97383909,19960011,214136,55477633,2028117,335740,1737
run_49,61.91999999999962,0.0,0,2719,0,0,5,,,166933698,99603069,20669784,231118,55731226,1735665,266000,1878
run_50,56.63999999999987,3.9099999999999966,0,2724,0,0,5,,,153902588,103906225,23342170,286610,55750164,1807921,324725,258
run_51,57.23000000000002,4.074000000000012,0,2724,0,0,7,,,176035789,95900965,20024408,204982,54868968,1828636,279676,1721
run_52,62.86999999999989,0.0,0,2719,0,0,7,,,173847625,99778774,19906100,211539,54353240,1803042,276500,2253
run_53,54.48000000000002,7.853000000000009,0,2719,0,0,6,,,174774084,97616669,19902160,206834,54216014,2036097,335950,1808
run_54,62.26999999999998,0.0,0,2722,0,0,7,,,174128386,98178214,19901899,213932,54955584,2050552,333879,1776
run_55,61.75999999999976,0.0,0,2721,0,0,8,,,168596546,98768905,20183911,227571,55851794,1770548,267064,1870
run_56,62.070000000000164,0.0,0,2720,0,0,7,,,165955582,100574117,20887811,243148,55799034,1737048,265030,1964
run_57,57.24000000000024,3.725999999999999,0,2720,0,0,6,,,155437797,102512006,23061432,274743,55950907,1833313,327504,681
run_58,57.13000000000011,4.064000000000021,0,2721,0,0,6,,,182283574,95279263,20047184,199661,53457834,1829411,282872,1293
run_59,61.38000000000011,0.0,0,2723,0,0,8,,,168954787,98767170,20142997,217920,55752596,1759953,263610,2066
run_60,62.2199999999998,0.0,0,2720,0,0,7,,,165718631,100738431,21040316,230710,55895460,1937184,326581,2215
run_61,60.710000000000036,0.0,0,2720,0,0,5,,,153895317,103348267,23129234,281711,55836746,1629527,269098,607
run_62,64.07000000000016,0.0,0,2722,0,0,6,,,191652067,101076885,19320148,187743,48592317,2150219,346203,3511
run_63,59.51000000000022,3.781000000000006,0,2721,0,0,6,,,168412599,99191020,21066510,225016,56093300,1742473,267164,3112
run_64,61.590000000000146,0.0,0,2716,0,0,7,,,164736931,100791852,21261926,255677,55583641,1917494,320246,2031
run_65,57.55000000000018,3.9579999999999984,0,2721,0,0,6,,,192883783,96813468,19791392,189509,48792252,1862067,276602,2252
run_66,53.70000000000027,8.091000000000008,0,2723,0,0,7,,,179565661,95378039,19561259,196362,52292334,1892853,292764,4123
run_67,58.01000000000022,4.108000000000004,0,2721,0,0,6,,,179380955,98662980,19869951,206686,52774696,1865236,283068,2198
run_68,54.01000000000022,7.897999999999996,0,2718,0,0,6,,,176192778,97959044,19950655,205816,54313997,1833761,280198,2222
