,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_349,57.20000000000073,4.079999999999927,0,2736,0,0,7,,,182869906,93200173,19727375,195848,51597485,1828489,268429,1127
run_350,56.79999999999927,7.779999999999973,0,2740,0,0,7,,,197501919,99613540,19509464,192024,47611156,1862750,269576,5046
run_351,62.5,0.0,0,2734,0,0,6,,,163211225,96270915,20695542,223771,55923148,1745114,263223,763
run_352,64.0,0.0,0,2732,0,0,7,,,173486792,99404742,19991317,216696,53981500,1742828,264926,5243
run_353,64.79999999999927,0.0,0,2732,0,0,8,,,186831849,99832919,19687815,194441,48872215,1883041,274709,7702
run_354,65.0,0.0,0,2736,0,0,6,,,175080137,101188709,20118530,211345,52318634,1764482,265300,6763
run_355,61.5,0.0,0,2734,0,0,6,,,179302445,93226938,19867124,204804,53045571,1860849,276186,926
run_356,59.69999999999709,3.8700000000001182,0,2734,0,0,6,,,185612770,97489017,19845308,201831,50720532,1860660,275034,3231
run_357,56.5,8.039999999999964,0,2734,0,0,5,,,190800155,99317446,19292589,185269,47573224,1898792,278492,6735
run_358,61.20000000000073,4.079999999999927,0,2740,0,0,7,,,178961311,100318821,19514815,203561,50272391,1845934,280190,7020
run_359,61.0,4.059999999999945,0,2736,0,0,6,,,171017014,100639824,21169621,217416,53583178,1718233,266995,7228
run_360,61.79999999999927,3.8700000000001182,0,2734,0,0,8,,,194181022,102876410,20503711,191829,47664182,1887017,292811,7124
run_361,61.70000000000073,3.839999999999918,0,2732,0,0,7,,,189944615,100695271,19577913,190003,48282765,1892233,277586,7557
run_362,64.89999999999782,0.060000000000172804,0,2734,0,0,7,,,176359919,101777379,19833716,210385,51513804,1792240,268331,6737
run_363,57.0,8.059999999999945,0,2734,0,0,8,,,196675780,101648475,20722525,192251,46363871,1867933,285181,7661
run_364,60.900000000001455,3.7999999999999545,0,2734,0,0,8,,,188090771,100430566,19792159,197345,48886921,1876666,277678,7265
run_365,62.20000000000073,0.0,0,2734,0,0,6,,,158954609,97255340,21698261,264036,56075753,1695159,264247,1091
run_366,59.60000000000218,3.8600000000001273,0,2738,0,0,6,,,168533879,97283874,20509163,222227,55707947,1701708,257841,3867
run_367,56.900000000001455,8.059999999999945,0,2736,0,0,7,,,177434606,102127893,19765524,201566,51046746,1790157,267398,7860
run_368,57.400000000001455,8.089999999999918,0,2734,0,0,8,,,194561125,101669191,20878202,187439,46377657,1799632,295585,9183
run_369,61.79999999999927,4.110000000000127,0,2732,0,0,5,,,201244672,101768815,20914162,184524,45582052,1829366,279690,6965
run_370,57.5,7.829999999999927,0,2734,0,0,7,,,194860505,101038472,19359547,192844,47871952,1902277,280373,7278
run_371,61.39999999999782,0.08999999999991815,0,2734,0,0,7,,,161157483,97820313,21066809,269035,55754394,1722074,257825,685
run_372,64.29999999999927,0.0,0,2734,0,0,6,,,201541062,98512527,20299178,182168,45627998,1863174,278585,4839
run_373,61.0,3.5800000000001546,0,2732,0,0,7,,,183027264,101074042,19683228,199601,49737054,1867148,280793,7656
run_374,64.5,0.029999999999972715,0,2740,0,0,7,,,172420783,99400867,20463943,213568,53878926,1706814,253598,6825
run_375,61.599999999998545,0.0,0,2736,0,0,7,,,172106837,93318776,19857478,212668,55639029,1816673,273740,975
run_376,60.099999999998545,3.8599999999999,0,2732,0,0,6,,,180094893,98860602,19726008,207431,51921682,1851264,281092,3299
run_377,60.5,4.0300000000002,0,2732,0,0,6,,,192354202,100480219,19457516,192054,47546919,1871323,271082,7210
run_378,61.599999999998545,0.0,0,2734,0,0,8,,,162061414,97305976,21047140,261965,55883698,1728323,262293,959
run_379,64.10000000000218,0.0,0,2736,0,0,6,,,171244888,99178133,20554359,220854,54689914,1716330,263307,5407
run_380,56.70000000000073,7.919999999999845,0,2734,0,0,7,,,184941416,101458688,19885417,201526,49510352,1853232,271150,7913
run_381,62.900000000001455,0.0,0,2732,0,0,7,,,161442484,98516134,21817000,260903,55955394,1680773,266610,1023
run_382,63.70000000000073,0.0,0,2740,0,0,6,,,172114970,96967659,19891995,211265,54617249,1730483,257806,4829
run_383,56.79999999999927,7.970000000000027,0,2738,0,0,6,,,181602249,102060033,19814668,199418,49885985,1848114,273874,7861
run_384,60.70000000000073,4.039999999999964,0,2732,0,0,8,,,172700612,101488422,20932574,219573,54018934,1717803,266787,6580
run_385,61.099999999998545,3.8200000000001637,0,2732,0,0,7,,,188273979,100594993,19775709,196828,48685715,1869287,271687,7389
run_386,61.20000000000073,0.08999999999991815,0,2734,0,0,6,,,157339395,99519209,21863986,273000,55856345,1672771,260483,826
run_387,56.29999999999927,4.019999999999982,0,2736,0,0,6,,,173958394,91297643,19846103,210005,54947590,1847156,278526,500
run_388,59.39999999999782,3.9600000000000364,0,2734,0,0,6,,,176561934,97610890,19776246,210213,52972970,1827455,272737,4364
run_389,49.19999999999709,11.809999999999945,0,2732,0,0,6,,,171848189,93756618,20011034,212945,55606922,1810213,269156,1006
run_390,63.5,0.0,0,2740,0,0,8,,,172975593,97464733,19808063,211600,53667068,1750837,265127,5572
run_391,57.0,7.779999999999973,0,2738,0,0,7,,,185145293,100163370,19789437,193547,49178422,1879432,271692,7053
run_392,64.40000000000146,0.029999999999972715,0,2732,0,0,8,,,173239029,101289413,20573020,219555,53558195,1728918,268627,7229
run_393,53.5,7.830000000000155,0,2732,0,0,7,,,173156105,92841419,19980209,209284,55493000,1804029,266341,951
run_394,59.70000000000073,3.980000000000018,0,2734,0,0,6,,,176350852,97751698,19744228,209683,53084324,1802557,274932,4079
run_395,61.79999999999927,3.8599999999999,0,2734,0,0,7,,,191068040,101874967,19651172,192254,48049883,1906971,288885,7857
run_396,62.099999999998545,3.880000000000109,0,2734,0,0,9,,,191487204,101470359,19637641,191803,48121570,1887629,281821,7519
run_397,61.80000000000291,3.8599999999999,0,2732,0,0,7,,,182760537,101216438,19583059,198819,50007940,1885496,280756,7256
run_398,64.90000000000146,0.05999999999994543,0,2740,0,0,6,,,172957800,101018300,20474100,208573,52832794,1713063,257715,7827
run_399,56.900000000001455,8.050000000000182,0,2738,0,0,7,,,192924280,100205433,19297245,189735,47512146,1908336,279871,7781
run_400,61.79999999999927,0.0,0,2732,0,0,6,,,165518870,97943935,20556746,226783,55788905,1744129,263342,1129
