,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_1,69.594,8.015,18896,6265,0,1,8,,,237273881,116893883,21916829,198761,35685953,1406194,359654,28896
run_2,57.29600000000002,4.066000000000001,0,3046,0,0,6,,,152390747,96669216,22484670,276367,55831345,1681870,267324,794
run_3,63.99699999999996,0.0,0,2652,0,0,6,,,157229031,95731638,22554220,230169,55930619,1654395,268323,3932
run_4,58.235000000000014,7.907,0,2690,0,0,7,,,188695040,102958824,19579388,194362,48696270,1886273,289521,7015
run_5,54.18300000000005,7.869999999999997,0,2615,0,0,7,,,158614850,94577980,21842394,228712,56153559,1990104,344941,1058
run_6,56.63900000000001,4.042000000000002,0,2783,0,0,6,,,151887748,100021462,22837189,277781,55911401,1651939,273537,824
run_7,63.71899999999994,0.0,0,2721,0,0,9,,,195646040,98015337,19417036,187959,47563141,1911111,290293,3672
run_8,62.05200000000002,0.0,0,2718,0,0,7,,,162324689,97978358,21569643,253051,55924264,1925360,322417,1401
run_9,56.68100000000004,3.9440000000000026,0,2721,0,0,7,,,180339687,93145452,19424932,197476,51752015,1873341,288491,1103
run_10,60.638000000000034,3.8089999999999975,0,2720,0,0,7,,,194951735,99594793,19306895,184045,48472244,1909083,293447,4764
run_11,62.21500000000003,0.0,0,2724,0,0,6,,,159933075,99090744,22234210,256457,55989928,1884750,332310,955
run_12,64.63700000000006,0.0009999999999976694,0,2722,0,0,6,,,174001429,100721071,20317625,211629,53153453,1960915,323585,5817
run_13,55.16700000000003,7.913999999999994,0,2717,0,0,6,,,184072327,98208070,19686473,201663,51161844,2127882,355246,1400
run_14,60.71199999999999,4.0319999999999965,0,2718,0,0,6,,,201725954,100714114,19528396,184080,46522208,2149927,349386,4116
run_15,61.58999999999992,3.863999999999997,0,2737,0,0,7,,,184136557,102421737,19639377,193554,49631946,1884636,285448,8149
run_16,62.77999999999997,3.929000000000002,8,2706,0,0,8,,,172446985,102039618,19590720,203043,50661935,1873228,289797,10290
run_17,54.86000000000013,11.848000000000006,0,2737,0,0,6,,,187332793,104137258,19490984,190155,48934391,2144070,353035,8472
run_18,57.66000000000008,7.804999999999993,0,2721,0,0,7,,,179089190,102165604,19658972,194217,50545770,2071973,335003,8456
run_19,65.15000000000009,0.117999999999995,0,2722,0,0,8,,,171701273,99626356,20440720,207891,52555185,1753743,271187,7248
run_20,61.75999999999999,4.108999999999995,0,2724,0,0,7,,,196237347,102229411,20779728,183135,46662571,2116615,353938,8553
run_21,58.909999999999854,7.896999999999991,0,2721,0,0,6,,,199076903,104140074,20887870,182850,46366305,2049836,363786,7416
run_22,57.75,8.086000000000013,0,2719,0,0,6,,,196244626,102206479,20537990,180705,46891463,1870615,291537,9167
run_23,58.450000000000045,3.8940000000000055,0,2720,0,0,7,,,175668299,95071365,19788124,204138,53798553,1840270,280983,2147
run_24,65.29999999999995,0.0,0,2722,0,0,6,,,191513861,101507273,19661147,195430,48454286,1909386,283644,5100
run_25,61.289999999999964,3.9470000000000027,0,2719,0,0,7,,,178519216,102275394,19699428,199784,50926391,2040538,335521,7800
run_26,55.37000000000012,7.924999999999997,0,2722,0,0,8,,,187710538,97909031,19625487,188961,48631836,2086839,330788,5835
run_27,58.66000000000008,7.876999999999995,0,2724,0,0,6,,,182220479,101909192,19468832,192008,49936376,1849243,296360,8204
run_28,58.99000000000001,7.897000000000006,0,2721,0,0,6,,,186334536,104039933,19442271,188727,49696985,1869801,300804,7703
run_29,59.11000000000013,7.903999999999996,0,2719,0,0,7,,,187093528,103527599,19285716,187930,49355099,1919735,308285,7062
run_30,61.690000000000055,3.8349999999999795,0,2721,0,0,8,,,183955300,100957663,19716268,193650,49670685,1879825,286699,8686
run_31,58.48000000000002,7.853000000000009,0,2720,0,0,8,,,182549099,101729424,19443332,195093,49957574,1855905,289612,7038
run_32,62.179999999999836,0.0,0,2721,0,0,5,,,162851220,98794019,21404774,255985,55901126,1713116,265161,1402
run_33,70.36999999999989,0.1349999999999909,0,2717,0,1,7,,,217304805,105096305,20200473,171800,39382456,1744659,278372,16866
run_34,64.51999999999998,0.07399999999998386,0,2723,0,0,7,,,199054725,99378536,20380277,177046,45824648,2101416,335407,7638
run_35,61.50999999999976,3.8319999999999936,0,2724,0,0,8,,,191475696,100531149,19681640,186769,48451807,1898384,287418,7804
run_36,65.4699999999998,0.13800000000000523,0,2721,0,0,6,,,178565586,101453292,19651557,199902,50958728,2073190,337104,8262
run_37,64.80999999999995,0.08699999999998909,0,2718,0,0,8,,,171025635,100770670,21170709,214958,53827349,1726425,273051,8039
run_38,56.75,7.751000000000005,0,2722,0,0,8,,,190814897,99990046,19735182,193894,48501075,2128628,339828,7153
run_39,64.83999999999969,0.09100000000000819,0,2722,0,0,7,,,169578478,99368779,20755077,213165,52566421,2003276,330823,9075
run_40,58.58999999999969,8.137999999999977,0,2719,0,0,6,,,204704144,103252910,21562003,180676,44982683,1994175,357009,7653
run_41,62.070000000000164,4.13900000000001,0,2720,0,0,6,,,202271621,102026355,21377214,177439,45497191,2008869,353092,8217
run_42,57.23000000000002,8.060000000000002,0,2722,0,0,7,,,192844928,100499066,20254235,184866,47460917,2121237,338940,8772
run_43,53.909999999999854,11.807999999999993,0,2724,0,0,6,,,190026696,101450894,19775691,188124,48434741,1890772,281814,7718
run_44,61.309999999999945,4.093999999999994,0,2720,0,0,7,,,180532221,103525995,19800753,201992,50836379,1834203,286082,8102
run_45,62.5300000000002,3.907999999999987,0,2720,0,0,6,,,177685129,103581356,19946900,199992,50926302,2021176,337101,8565
run_46,61.92000000000007,3.7439999999999998,0,2722,0,0,6,,,167572351,102397565,21916615,218544,52328977,1950886,353363,9104
run_47,62.48999999999978,4.178000000000026,0,2721,0,0,6,,,205433053,104022627,21711794,178843,44620496,1723707,299152,7957
run_48,61.19999999999982,4.086000000000013,0,2721,0,0,8,,,196365295,102273325,20861894,185753,46678600,2107535,339459,8732
run_49,61.34999999999991,3.8160000000000025,0,2719,0,0,6,,,192971863,101955383,19696242,190518,48170524,1889615,284412,7535
run_50,57.179999999999836,8.062999999999988,0,2724,0,0,7,,,181666834,101206178,19670727,193233,50377979,2074057,334555,7293
run_51,61.659999999999854,4.121000000000009,0,2724,0,0,7,,,204297395,102778353,21404905,176278,44797301,1747398,294514,7356
run_52,61.48000000000002,4.106999999999999,0,2719,0,0,7,,,198174906,104568866,20885436,189149,46592130,1864374,293153,9044
run_53,61.79999999999973,0.0,0,2719,0,0,8,,,175631457,95544155,19954766,205970,54652888,2024669,333263,2106
run_54,64.97000000000025,0.0,0,2722,0,0,7,,,185883178,101326683,19644581,194128,49558834,2132980,343160,4718
run_55,60.460000000000036,3.7190000000000225,0,2721,0,0,7,,,163508567,100089772,22769675,226320,55447810,1681152,280985,7124
run_56,62.83000000000038,3.9220000000000255,0,2720,0,0,7,,,196892261,103563468,20794886,186983,47014345,1853473,291789,8666
run_57,62.470000000000255,3.8959999999999866,0,2720,0,0,6,,,194330625,104527099,20946226,187021,47147683,2074383,347598,9208
run_58,59.190000000000055,7.922999999999973,0,2721,0,0,8,,,200766628,103795179,20907240,179837,46315112,1786003,303906,8924
run_59,62.679999999999836,4.187999999999988,0,2723,0,0,8,,,207374271,105290992,21798192,172877,44603210,1727009,303633,8992
run_60,66.55999999999995,0.19600000000002638,0,2720,0,0,5,,,207836183,104391930,21471216,176223,44193589,1992211,360041,8684
run_61,58.49000000000024,4.169999999999959,0,2720,0,0,5,,,157991248,99699907,22463409,276976,56116570,1668773,270780,1491
run_62,64.47999999999956,0.04600000000004911,0,2722,0,0,6,,,171663162,98777031,20385589,214294,54166131,1979770,331981,3642
run_63,61.29999999999973,3.81899999999996,0,2721,0,0,7,,,188835365,101314451,19836390,193299,48714731,1898691,288777,7914
run_64,61.73000000000002,0.12899999999996226,0,2716,0,0,7,,,162692551,98938329,21443344,260428,55591715,1918487,322924,1113
run_65,55.92000000000007,7.636000000000024,0,2721,0,0,6,,,167689170,98313992,21262326,217579,55904376,1692078,265282,5125
run_66,57.900000000000546,3.858000000000004,0,2723,0,0,7,,,162511334,96768525,21047651,223256,55888381,1737278,268281,1123
run_67,64.35000000000036,0.04199999999997317,0,2721,0,0,6,,,174877156,100473559,20344793,209291,53303599,1767789,274303,6682
run_68,65.55000000000018,0.0,0,2718,0,0,6,,,193584138,101762404,19685736,187645,48046612,1912942,296435,6916
run_69,62.6299999999992,0.0,0,2720,0,0,7,,,170585559,95870900,19808723,211138,54693422,2033502,326500,797
run_70,60.75,3.8489999999999895,0,2722,0,0,6,,,185812189,100404257,19794309,199942,50166014,1880207,282852,5475
run_71,62.339999999999236,0.16599999999999682,0,2722,0,0,6,,,158583260,99220332,22979930,273340,56444171,1683919,277424,900
run_72,60.31999999999971,4.018999999999949,0,2718,0,0,6,,,171275650,99724729,21117536,219085,54595760,1946008,330173,3897
run_73,53.05000000000018,7.791999999999973,0,2717,0,0,7,,,166324361,95821537,20098733,242072,55283645,1782883,259836,850
run_74,64.32999999999993,0.040000000000020464,0,2723,0,0,6,,,171359810,98617305,20390750,208344,53865048,1747008,266261,5296
run_75,62.6899999999996,3.91700000000003,0,2719,0,0,7,,,195861017,104291706,20877685,186075,47440577,1841573,300627,8729
run_76,66.72000000000025,0.0,0,2718,0,0,7,,,198310888,104127278,20847258,181224,46405861,1798392,294942,7002
run_77,66.44000000000051,0.0,0,2721,0,0,7,,,197665086,102029743,20951160,184742,46320336,1802570,294777,7604
run_78,62.75,3.798000000000002,0,2722,0,0,7,,,199636803,104036808,21039395,182281,45985981,2050452,348204,7023
run_79,65.53999999999996,0.0,0,2722,0,0,6,,,195501268,102481647,19707872,187934,47324743,2136754,344645,7791
run_80,62.82999999999993,3.8040000000000305,0,2719,0,0,8,,,194834014,102567261,20036964,188400,47878883,1904818,299908,7757
run_81,57.3700000000008,7.812000000000012,0,2719,0,0,7,,,185055547,99773895,19548179,190278,49469725,1889161,284650,7220
