run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
213,35.093,51.5281,9536428,30434404,,8258,24633352,734749,50404,1709
214,69.7681,52.2839,12782855,41163197,,79854,20537237,409787,30939,12392
215,35.4661,76.9089,9061276,32716900,,7872,21109732,617115,48636,15419
216,35.8418,51.083,10478053,32729347,,8064,23948663,643945,56719,3970
217,66.1821,50.6711,9637796,41003155,,46194,14795772,451592,32621,17430
218,35.7581,48.241,9960617,32771824,,8314,26469947,765698,54478,1609
219,34.9739,52.1211,9438782,30191212,,9740,24952169,753103,50022,1361
220,55.572,51.248,7406024,38209728,,6818,15695139,459362,49154,16524
221,35.3201,76.4399,9296214,32177279,,8299,21463437,623264,53093,16241
222,35.2749,49.6121,9423244,30801402,,8380,24965897,758035,53984,1518
223,53.7981,47.5662,9546796,40926128,,23724,15543861,365814,42869,16175
224,35.812,52.667,8176907,34914038,,4494,18548295,583376,52493,17771
225,35.1472,49.8569,10079125,30439964,,8244,22834160,669827,51649,10763
226,75.178,49.7229,10259115,42101336,,45886,14724501,430780,32826,16900
227,35.1509,48.7698,10110616,30436283,,8108,23720275,706949,52925,5095
228,35.248,48.355,9424416,32031702,,8260,21554189,624487,50072,16373
229,69.304,50.728,13110535,41247292,,78707,20825227,431009,26687,11214
230,35.012,52.1101,8313642,33067200,,5236,19393409,590719,51326,15588
231,35.5032,50.7061,9405297,32729523,,8059,21827937,615154,49672,15525
232,54.0291,53.0559,8800186,40195027,,27328,15463857,414814,36206,15221
233,35.217,49.606,9506036,31636480,,7854,22043182,635618,51145,15436
234,34.603,48.928,9743230,30292892,,8126,24368941,728035,48374,2084
235,34.572,48.2,9028895,31885742,,8132,21401731,633164,54632,15705
236,34.5881,49.313,9583633,30428520,,7930,24560982,739399,52656,1402
237,34.605,47.2891,10021786,30109983,,8214,25955821,763109,46857,1198
238,65.644,46.0789,9141664,39886105,,40745,15344891,456212,33800,16242
239,34.5911,46.1902,8730594,32191421,,7826,20891734,620664,53349,14914
240,34.666,46.0562,9392210,31704054,,8119,21924505,639504,55916,16534
241,73.0139,76.4419,12157989,42219301,,78072,19853304,346498,21758,12382
242,36.217,76.637,9821294,33181806,,8503,25163519,749740,47073,1727
