run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
329,36.053,76.0649,10526796,32904704,,8104,22553014,629280,53732,13462
330,34.7019,48.6719,9423440,30391065,,8316,25043505,753290,49189,1493
331,62.2419,49.1289,9209204,40881811,,45868,14633893,450378,45202,17114
332,35.1309,49.6379,9879316,31470527,,8305,24194430,731903,48251,2037
333,34.667,48.4629,10237092,30186079,,10716,26134838,780976,51205,1407
334,34.5781,47.626,9379909,31642970,,8265,22296283,643717,48892,16976
335,35.0129,76.4761,9748685,31751808,,8172,22289358,648321,51880,15151
336,34.7959,48.989,9947301,30966314,,8055,24277470,731926,50864,2449
337,75.115,44.7729,12797606,41304140,,79008,20490427,422014,27016,12114
338,35.4751,48.8088,9967858,33531814,,8048,25500775,702858,53740,1425
339,34.7041,50.093,9409280,30223818,,7888,25078638,769054,48024,1796
340,57.1799,48.947,9297461,41720010,,30196,15501949,399906,41298,15370
341,35.0388,48.9321,9565942,31228764,,8323,25225198,722577,48911,1569
342,34.7212,49.5591,9517429,30875594,,8005,25191163,770648,50399,1332
343,56.7949,49.1111,8992598,40889271,,27610,15479954,403818,40352,16184
344,34.625,48.71,9996007,30363674,,8436,26039063,764477,52960,1287
345,34.896,49.616,9880970,31264404,,9968,25764457,756867,46724,1372
346,68.3491,47.4128,9415572,40692077,,44008,15214905,456047,34619,16816
347,35.095,47.7629,10102472,31744426,,8125,25092016,692389,49302,2183
348,34.458,47.8091,9820725,30528924,,8280,22626331,660866,50657,13129
349,34.635,47.842,9425096,30412970,,7945,24953874,764259,53946,1624
350,34.73,47.7061,10112660,30722955,,8032,23925478,691517,52741,2586
351,34.5261,49.168,9921443,29945169,,8344,25899890,759162,48965,1381
352,75.7681,47.6711,12846471,41412270,,78740,20354797,400536,31301,12571
353,35.55,74.2542,9850744,32443048,,7927,21888905,624364,53156,15692
354,35.4551,48.8669,9733902,32631330,,7914,21796685,618072,49638,14771
355,54.6121,47.562,8862828,40174319,,27783,15443896,411706,38430,16546
356,34.6509,48.77,9323602,30462972,,8117,25443438,775835,50079,1314
357,35.447,50.0071,10296996,31134914,,8414,22799628,644320,56784,8913
358,60.8062,48.8501,10016613,42304963,,43916,14944780,419232,34941,16729
359,34.8259,49.9331,9455146,31132027,,8344,25641215,752226,49462,1560
360,34.5791,47.2771,8728400,32252861,,8388,20635120,618844,52215,16556
361,34.5352,48.676,9182062,30026661,,8014,25183988,773088,47725,1382
362,34.5132,49.2439,9338193,30087073,,8157,25386884,761699,50175,1557
363,34.4841,49.2021,9986092,30153755,,8390,22959127,668816,52193,8575
364,74.8169,49.3201,12149462,42085493,,78309,19651418,340024,22881,13148
365,35.7529,77.2881,9648293,33150997,,8249,25481824,787652,50275,1363
366,34.73,47.8052,10024017,30607039,,12034,22922453,670870,51268,10385
367,73.5381,48.3489,12965438,41137754,,80471,20570409,432578,28827,13224
368,35.509,49.8269,8844486,34901074,,6827,19838982,577948,58197,16354
369,34.5811,46.7358,8805730,32097973,,8190,20843860,622311,48038,15709
370,56.8411,48.1809,9425823,42038947,,36362,15383118,429427,39680,17855
371,35.2109,76.105,9956245,32075697,,7954,26771257,770917,47298,1348
372,34.696,48.949,9444289,30477395,,12025,24997801,755225,47469,1384
373,73.1428,50.2839,9560253,40791715,,44559,14968755,460532,33284,16180
374,34.676,47.1179,9946316,30424512,,7916,24088942,722680,51692,2697
375,34.5928,49.46,10074905,30201681,,8085,26129184,758676,47193,1354
376,34.6921,47.6492,9677431,31000300,,8236,22260615,652133,50452,15348
377,34.561,48.908,9373025,29950825,,8307,25116524,759186,48341,1285
378,34.5911,47.5449,9775336,30230538,,8148,24323046,720277,57867,1865
379,57.4211,49.0681,9337074,41921578,,33645,15418633,429147,38451,17958
380,35.188,77.416,9218057,32832648,,8218,21207813,617775,55147,16043
381,34.7529,75.543,9514345,30212131,,8328,25504571,762686,45224,1459
382,68.582,49.9258,12769619,41379601,,79072,20374748,391125,30866,11922
383,34.813,46.2148,9489307,31861661,,7765,21825996,632562,56646,15348
384,35.3979,76.123,9411350,31489686,,7944,25037617,768926,51361,1424
385,76.8501,49.437,12670552,41342905,,78136,20478171,396334,32419,13478
386,34.8,47.6548,10140735,30239467,,7999,23606526,689648,47691,3776
387,34.8569,48.5769,10223798,30618222,,8236,23295464,677246,50064,4435
388,69.1331,49.3149,13339663,41386449,,79211,21124980,433035,29044,11517
389,34.875,48.7019,10023894,30711026,,8207,24055883,700621,51563,3324
390,35.1421,61.3359,10325674,32420775,,7816,24953850,664003,48349,3460
391,79.7209,47.4268,12780069,41240988,,78591,20487859,398583,31621,12837
392,35.0161,47.4231,9997115,31574719,,8317,24741901,704628,54531,1916
393,35.281,49.085,9809717,30839499,,8260,24418313,721093,51189,1674
394,77.0669,49.146,12632344,41451678,,77956,20518553,407035,30546,12183
395,35.114,76.1702,9766299,32143557,,8310,22228014,625675,49187,16163
396,35.0598,45.009,9903754,31793391,,7870,22271749,620391,56637,14808
397,56.147,48.959,7201608,39040885,,30639,15426075,427369,40006,15961
398,34.7378,48.749,9538121,30620772,,8110,24648375,728910,52631,1575
399,35.2781,49.8572,9821188,32690937,,8219,26508397,729033,50426,1427
400,57.123,49.0532,8054171,39823166,,38698,15358082,433644,50136,16514
